start_t,stop_t,server_id,player_a,player_b,key,meta,count
40320,40321, 50989f1b1dbf9d412a000004, 9228a0d3fea1fc4d2aab481d9d4436b3125fdbc4, , Logins, America/Chicago,1
40320,40321, 50989f1b1dbf9d412a000004, 9228a0d3fea1fc4d2aab481d9d4436b3125fdbc4, 5ae781995377fcb4d6052cd9cd537da886f14e14, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, 964a573485c420827bbb29ddfd9b243c5528a1ee, , BlockBreak, SMOOTH_BRICK,1
40320,40321, 50989f1b1dbf9d412a000004, 964a573485c420827bbb29ddfd9b243c5528a1ee, , BlockBreak, THIN_GLASS,1
40320,40321, 50989f1b1dbf9d412a000004, 964a573485c420827bbb29ddfd9b243c5528a1ee, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, a00da0597317774f479dc38842fffc55e4fab667, , BlockBreak, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, a00da0597317774f479dc38842fffc55e4fab667, , CraftedItems, DIAMOND_CHESTPLATE,1
40320,40321, 50989f1b1dbf9d412a000004, a00da0597317774f479dc38842fffc55e4fab667, , CraftedItems, DIAMOND_HELMET,1
40320,40321, 50989f1b1dbf9d412a000004, a3ca7d96036ef41364c547c32a39b2918e4eaadd, , Death, ,1
40320,40321, 50989f1b1dbf9d412a000004, a3ca7d96036ef41364c547c32a39b2918e4eaadd, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, a3ca7d96036ef41364c547c32a39b2918e4eaadd, 5ae781995377fcb4d6052cd9cd537da886f14e14, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, b27d560b1d2c74a6435ed0da78b2031d94503df6, , BlockBreak, DIRT,1
40320,40321, 50989f1b1dbf9d412a000004, b27d560b1d2c74a6435ed0da78b2031d94503df6, , Logins, America/New_York,1
40320,40321, 50989f1b1dbf9d412a000004, b5ca08df4da7835cc3d3220ad3dcc7b1e3fa7825, , BlockBreak, DIRT,1
40320,40321, 50989f1b1dbf9d412a000004, b5ca08df4da7835cc3d3220ad3dcc7b1e3fa7825, a00da0597317774f479dc38842fffc55e4fab667, KilledBy, ,1
40320,40321, 50989f1b1dbf9d412a000004, bb2697c1f74fccb4cb9a07b6923b087717d89a88, , Logins, America/Los_Angeles,1
40320,40321, 50989f1b1dbf9d412a000004, bc691f7859619d220500ad6b0ce80e20d47d96a8, , Logins, America/Rainy_River,1
40320,40321, 50989f1b1dbf9d412a000004, d07245ad90f5e02828267851597f19c96c7d9a7c, , BlockBreak, GRAVEL,1
40320,40321, 50989f1b1dbf9d412a000004, d07245ad90f5e02828267851597f19c96c7d9a7c, , BlockBreak, OTHER,1
40320,40321, 50989f1b1dbf9d412a000004, d07245ad90f5e02828267851597f19c96c7d9a7c, , BlockPlace, DIRT,1
